x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
x;x;x;x;x;x;35-29-33;35-29-33;x;x;x;x;x;x;x;x;x;x;x;35-29-33;35-29-33;x;x;x;x;x;x
x;x;x;x;x;x;35-29-33;35-29-33;x;x;x;x;x;x;x;x;x;x;x;35-29-33;35-29-33;x;x;x;x;x;x
x;x;x;x;x;x;35-29-33;35-29-33;x;35-29-33;35-29-33;35-29-33;35-29-33;35-29-33;35-29-33;35-29-33;35-29-33;35-29-33;x;35-29-33;35-29-33;x;x;x;x;x;x
x;x;x;x;x;x;35-29-33;35-29-33;35-29-33;48-44-58;48-44-59;48-44-60;48-44-61;48-44-62;48-44-63;48-44-64;48-44-65;48-44-66;35-29-33;35-29-33;35-29-33;x;x;x;x;x;x
x;x;x;x;x;x;35-29-34;48-44-58;48-44-59;48-44-60;48-44-61;48-44-62;48-44-63;48-44-64;48-44-65;48-44-66;48-44-67;48-44-68;48-44-69;48-44-70;35-29-34;x;x;x;x;x;x
x;x;x;x;x;x;35-29-35;48-44-59;48-44-59;48-44-62;48-44-59;48-44-59;48-44-59;48-44-59;48-44-59;48-44-59;48-44-59;48-44-59;48-44-59;48-44-59;35-29-35;x;x;x;x;x;x
x;x;x;x;x;x;35-29-36;48-44-60;48-44-61;48-44-64;48-44-63;48-44-64;48-44-65;48-44-66;48-44-67;48-44-68;48-44-69;48-44-70;48-44-71;48-44-72;35-29-36;x;x;x;x;x;x
x;x;x;x;x;x;35-29-37;48-44-61;48-44-61;48-44-66;48-44-61;48-44-61;48-44-61;48-44-61;48-44-61;48-44-61;48-44-61;48-44-61;48-44-61;48-44-61;35-29-37;x;x;x;x;x;x
x;x;x;x;x;x;35-29-38;48-44-62;48-44-62;48-44-68;x;48-44-62;48-44-62;48-44-62;48-44-62;48-44-62;48-44-62;48-44-62;x;48-44-62;35-29-38;x;x;x;x;x;x
x;x;x;x;x;x;35-29-39;48-44-63;48-44-63;48-44-70;x;x;x;48-44-63;48-44-63;48-44-63;x;x;x;48-44-63;35-29-39;x;x;x;x;x;x
x;x;x;x;x;x;35-29-40;48-44-64;48-44-64;48-44-72;x;x;x;48-44-72;48-44-72;48-44-72;x;x;x;48-44-72;35-29-40;x;x;x;x;x;x
x;x;x;x;x;x;35-29-41;48-44-65;48-44-65;48-44-74;48-44-74;48-44-74;48-44-74;48-44-74;48-44-74;48-44-74;48-44-74;48-44-74;48-44-74;48-44-74;35-29-41;x;x;x;x;x;x
